# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
1.56121 2.89196 0.269012 -0.623956 10.2 0.401293 0.0930305
2.07901 2.78453 0.258199 -0.601082 10.2 0.235735 0.0946852
2.53156 2.77272 0.263712 -0.626002 10.2 0.136015 0.101198
2.82112 2.77986 0.251362 -0.627305 10.2 0.10617 0.100363
3.18485 2.77223 0.263204 -0.644942 10.2 0.0225519 0.110729
3.61065 2.74079 0.268368 -0.622779 10.2 -0.0898755 0.117582
4.17425 2.87135 0.258544 -0.614079 10.2 -0.12863 0.129383
4.78224 2.83578 0.249324 -0.665915 10.2 -0.453458 0.0995028
5.23287 2.79833 0.251868 -0.654088 10.2 -0.319984 0.105581
5.5362 2.85389 0.256758 -0.65915 10.2 -0.12087 0.0991151
5.76543 3.02868 0.223134 -0.634441 10.2 -0.141204 0.0731315
5.93956 2.87479 0.22744 -0.633615 10.2 0.0147439 0.039943
6.15556 2.80952 0.240315 -0.612291 10.2 0.00049997 0.0339391
0.26874 2.89355 0.391229 -0.717932 10.2 0.423499 0.0679473
0.902319 2.94353 0.402181 -0.732725 10.2 0.0775368 0.181839
1.60688 2.81257 0.401434 -0.740731 10.2 0.674695 0.0917888
2.19086 2.8934 0.404296 -0.77419 10.2 -0.442036 0.250849
2.77136 2.90668 0.372887 -0.759324 10.2 -0.117168 0.194888
3.44636 2.87296 0.378667 -0.775114 10.2 0.0988903 0.158318
4.1111 2.85315 0.385803 -0.758403 10.2 0.34059 0.130906
6.07162 2.90565 0.387531 -0.700193 10.2 -0.11512 0.0966181
0.138191 2.81623 0.275222 -1.27546 10.2 0.0763109 0.0678466
0.35245 2.90098 0.236056 -1.18929 10.2 0.0580808 0.0602879
0.616379 2.87834 0.248325 -1.17695 10.2 -0.0637202 0.106175
1.14835 2.80984 0.263245 -1.49393 10.2 0.0330118 0.127813
2.50772 2.78172 0.268476 -1.1526 10.2 0.0764736 0.145416
3.02426 2.75453 0.264756 -1.31685 10.2 -0.185095 0.13422
3.61871 2.8257 0.277694 -1.23004 10.2 0.217827 0.119907
