,xBQ2t_binnum,xBmin,xBmax,Q2min,Q2max,tmin,tmax,phimin,phimax,xB_binnum,Q2_binnum,t_binnum,phi_binnum,phi_binwidth,xB,Q2,t,phi,val,stat_err,syst_err_pointtopoint,syst_err_total,Syst. err (pi0 subtraction),Syst. err (Acceptance),Syst.err (exclusivity),Syst.err (fiducial),Syst.err (smearing),Syst.err (Frad),Syst.err (Fbin),Syst.err (Frad*Fbin)
661,36,0.118,0.155,1.456,1.912,0.25,0.4,315,330,2,2,2,21,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,323.2403352633661,0.7050627479977158,0.03540908342716271,0.08095034394244142,0.2380367299427064,0.00017310988986840906,0.04174246892039197,0.021635905372114857,0.05505195751994897,0.03605422317679724,0.0037057605400769894,0.0012341852023464712,0.003428858244959594
662,36,0.118,0.155,1.456,1.912,0.25,0.4,330,345,2,2,2,22,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,338.3801179564719,1.4083777540451288,0.07314192604935507,0.17383323945374238,0.47974531184018737,0.0004183118474225341,0.08408226769266867,0.016402040463931757,0.053926995817567526,0.14120139315268163,0.006616487938688411,0.0009166513124072037,0.0057455353355698804
663,36,0.118,0.155,1.456,1.912,0.25,0.4,345,360,2,2,2,23,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,353.24675125424216,2.2238950547180507,0.18393997165899223,0.47038381530557555,0.8484004528714012,0.0006896744118428279,0.24057963324629633,0.28625413747141537,0.21450934581600709,0.18734054543388437,0.015665060250546432,0.007725364797802857,0.018158400048805253
665,37,0.118,0.155,1.456,1.912,0.4,0.6,15,30,2,2,3,1,1,0.126030221063132,1.719354821820972,0.5231234268556334,21.048883625292905,1.0289607812357875,0.06610398712506826,0.1579110128509584,0.36284684733384537,0.0002996994042294384,0.07268667411000408,0.05112706862650324,0.09435506047693863,0.09005367614488687,0.002875544563904361,0.0038629476883629116,0.005091796888588165
666,37,0.118,0.155,1.456,1.912,0.4,0.6,30,45,2,2,3,2,1,0.126030221063132,1.719354821820972,0.5231234268556334,36.52419716715267,0.41643374234567254,0.022842307654264,0.044641154764177245,0.13954602790806706,0.00011892843127813543,0.02255480675019363,0.0031790956873075835,0.02111574155709658,0.031878729314826645,0.0027673259102080094,0.0005714548420454737,0.0034445135426845134
667,37,0.118,0.155,1.456,1.912,0.4,0.6,45,75,2,2,3,3,2,0.126030221063132,1.719354821820972,0.5231234268556334,57.49409886392084,0.17815188980489843,0.01903891184371727,0.034142297130587855,0.06606711605551695,0.00011238466010203025,0.03202062899780433,0.003356773615599373,0.0012455694982213136,0.008251063148864583,0.0023955832644489187,0.0011322656831336828,0.007711272661413251
670,37,0.118,0.155,1.456,1.912,0.4,0.6,105,135,2,2,3,7,2,0.126030221063132,1.719354821820972,0.5231234268556334,119.31682535550887,0.0390449082145646,0.006750483529451184,0.008963483378068182,0.015297468864595406,0.00034994362986051956,0.0020319338067038345,0.006700689570645233,0.005053457551794641,0.002306631205011251,0.00035969452474729713,0.0002564312264497313,0.0005793075729895006
671,37,0.118,0.155,1.456,1.912,0.4,0.6,135,150,2,2,3,9,1,0.126030221063132,1.719354821820972,0.5231234268556334,142.43377328103028,0.03418058805172712,0.0042868084830751324,0.005552610419331294,0.01219000365638688,0.0003045089975314434,0.0035316445478601297,0.002122564677943004,0.0022140617106441566,0.0029714938356773246,0.00022504371044884238,0.0001098367680612176,0.00017063950538640597
672,37,0.118,0.155,1.456,1.912,0.4,0.6,150,165,2,2,3,10,1,0.126030221063132,1.719354821820972,0.5231234268556334,157.4235051130597,0.04221423347092838,0.004203509633432626,0.006481832054653948,0.014887649083781566,0.00023434081667276978,0.004061714094808571,0.00014133139875607614,0.003565581108871352,0.0035628956366363087,0.0001456254836539811,7.419920609484698e-05,0.00018477351714276936
673,37,0.118,0.155,1.456,1.912,0.4,0.6,165,180,2,2,3,11,1,0.126030221063132,1.719354821820972,0.5231234268556334,172.48287205169197,0.040539761199574594,0.004430362531967713,0.006722141060742685,0.014520588461438668,0.00020481653025218501,0.0039212603611285205,0.0038476529915365226,0.0015734647801859047,0.003504478710816759,0.0004413591039508347,2.261806248241475e-05,0.00045535899833773773
