
xB     Q2     -t     phi    sig              stat-err        sys-err
0.156  1.426  0.446  51.7   0.507045         0.0249148       0.0355768
0.156  1.426  0.447  66.9   0.272047         0.020855        0.0220961
0.156  1.426  0.447  82     0.181337         0.0159076       0.0135874
0.155  1.427  0.447  97.1   0.15271          0.0125529       0.0136201
0.155  1.427  0.446  112.2  0.126937         0.0119653       0.0139795
0.155  1.427  0.446  127.2  0.107699         0.013514        0.0145908
0.155  1.427  0.446  142.3  0.0989797        0.013264        0.00848328
0.155  1.427  0.446  157.4  0.0664119        0.00738954      0.00693788
0.155  1.427  0.446  172.5  0.0659137        0.00770858      0.00499137
0.155  1.427  0.446  187.5  0.0868681        0.0118706       0.00806714
0.155  1.427  0.446  202.6  0.0786564        0.00885618      0.00613743
0.155  1.427  0.446  217.7  0.0592269        0.00605579      0.0063258
0.155  1.427  0.446  232.8  0.0899648        0.00986578      0.00914338
0.155  1.427  0.446  247.8  0.111063         0.0118468       0.0117802
0.155  1.427  0.447  262.9  0.160876         0.0152929       0.0101518
0.156  1.426  0.447  278    0.217777         0.017132        0.0146346
0.156  1.426  0.447  293.1  0.321328         0.0220352       0.0233856
0.156  1.426  0.446  308.3  0.502965         0.029428        0.0477298
0.156  1.426  0.602  36.7   0.385558         0.0203532       0.0244297
0.156  1.426  0.603  51.8   0.200129         0.0119956       0.0122675
0.156  1.426  0.604  66.9   0.139191         0.0120302       0.00914265
0.156  1.427  0.604  82     0.0900062        0.0097928       0.00680402
0.156  1.427  0.604  97.1   0.0756153        0.00753639      0.00501161
0.156  1.427  0.604  112.2  0.0485741        0.00534508      0.00461505
0.156  1.427  0.603  127.2  0.0596739        0.00826087      0.00746494
0.156  1.428  0.603  142.3  0.0489849        0.00841074      0.0116793
