# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
26.05359 1.66231 0.143662 -0.312831 10.6041 0.145658 0.0429751
41.72703 1.65758 0.160492 -0.299857 10.6041 0.312867 0.0938771
82.41883 1.60569 0.17125 -0.300359 10.6041 0.46651 0.0524918
100.63889 1.60293 0.161921 -0.299122 10.6041 0.202051 0.0813978
113.72353 1.61206 0.159886 -0.295003 10.6041 0.127021 0.11238
126.27130 1.58405 0.164224 -0.298265 10.6041 0.297809 0.0774805
139.20353 1.57597 0.158917 -0.314634 10.6041 0.228745 0.0738402
149.41765 1.6094 0.157115 -0.308411 10.6041 0.160265 0.0725917
160.25687 1.58967 0.1592 -0.309153 10.6041 0.0738126 0.0766664
170.70475 1.58753 0.155874 -0.313347 10.6041 0.0643592 0.0849942
181.37380 1.58089 0.156546 -0.319728 10.6041 -0.154017 0.112012
194.32952 1.5968 0.158289 -0.313771 10.6041 0.250391 0.0734102
208.62883 1.59391 0.156495 -0.311116 10.6041 -0.189025 0.101277
222.45201 1.58041 0.161855 -0.306988 10.6041 -0.0077834 0.111533
246.67724 1.60037 0.163415 -0.321453 10.6041 -0.453142 0.111939
272.14063 1.58945 0.159272 -0.329352 10.6041 -0.227572 0.100751
289.82325 1.58036 0.153307 -0.334318 10.6041 -0.307907 0.0899051
305.36817 1.58053 0.163585 -0.341426 10.6041 -0.298514 0.094178
325.47383 1.68172 0.143708 -0.335765 10.6041 -0.139014 0.120605
337.11748 1.65078 0.138323 -0.327451 10.6041 -0.0815662 0.0364583
350.92576 1.60412 0.146593 -0.312846 10.6041 -0.0472144 0.0205619
5.19883 1.60413 0.255674 -0.352464 10.6041 -0.0394466 0.0694078
15.58205 1.5969 0.251917 -0.348461 10.6041 0.240088 0.0678129
26.80245 1.6038 0.254761 -0.343387 10.6041 0.117719 0.1045
40.85241 1.60681 0.270767 -0.338026 10.6041 -0.00701786 0.117163
69.62640 1.60013 0.262034 -0.33628 10.6041 0.429018 0.0846371
97.20802 1.60453 0.248841 -0.343335 10.6041 0.0267452 0.139304
120.74513 1.58002 0.237419 -0.363678 10.6041 0.296616 0.137262
267.49451 1.61819 0.25862 -0.369369 10.6041 -0.909066 0.329242
307.22914 1.61819 0.263816 -0.382624 10.6041 0.200898 0.160721
341.21871 1.6236 0.266252 -0.334745 10.6041 -0.239627 0.0937884
354.62191 1.589 0.254431 -0.350178 10.6041 0.168898 0.0556884
25.92279 1.50893 0.117404 -0.629299 10.6041 0.0114797 0.0430526
34.17086 1.57172 0.112037 -0.559785 10.6041 0.118245 0.0221521
43.53551 1.57039 0.10538 -0.508706 10.6041 0.0422385 0.0417597
59.60423 1.53812 0.109939 -0.532032 10.6041 0.115717 0.103836
91.73455 1.56038 0.116686 -0.578352 10.6041 0.0598101 0.136171
131.38724 1.56571 0.112943 -0.534755 10.6041 0.183319 0.081289
150.97266 1.55285 0.115171 -0.570256 10.6041 -0.104811 0.118118
166.06093 1.54565 0.113952 -0.56408 10.6041 0.114826 0.0969509
181.76971 1.56421 0.113903 -0.553428 10.6041 0.167965 0.0769748
209.18861 1.55365 0.114234 -0.567249 10.6041 -0.370768 0.135296
245.21677 1.5551 0.111093 -0.567489 10.6041 -0.00981308 0.0971915
267.48535 1.54813 0.114487 -0.578397 10.6041 -0.0796155 0.0935056
286.26576 1.54254 0.119131 -0.581138 10.6041 -0.212765 0.09964
309.07062 1.55991 0.103145 -0.485656 10.6041 0.132532 0.0742127
319.49559 1.57623 0.106971 -0.521621 10.6041 -0.156891 0.0373801
328.91387 1.55417 0.114246 -0.580486 10.6041 -0.0923461 0.0254495
336.71355 1.47757 0.121026 -0.629087 10.6041 0.0192161 0.0824402
5.41378 1.58961 0.17658 -0.538745 10.6041 0.00546565 0.0367293
16.57945 1.58336 0.159368 -0.581983 10.6041 0.0793285 0.030582
25.91471 1.63727 0.140137 -0.582071 10.6041 0.0828868 0.0380761
38.15630 1.62993 0.163119 -0.604961 10.6041 0.0186006 0.111053
52.51932 1.56667 0.165259 -0.648179 10.6041 0.211066 0.0721536
63.68540 1.59195 0.161076 -0.621265 10.6041 0.14175 0.0955126
86.31208 1.60084 0.161212 -0.601439 10.6041 0.163601 0.0955506
119.45769 1.60411 0.169074 -0.54681 10.6041 0.262055 0.0923217
144.88556 1.5933 0.161047 -0.566086 10.6041 0.154554 0.0961684
160.02597 1.58431 0.156552 -0.580001 10.6041 0.150699 0.0945709
170.79184 1.5887 0.160761 -0.574043 10.6041 -0.206212 0.109196
183.03767 1.58543 0.165206 -0.57208 10.6041 0.100829 0.0949691
198.84271 1.58397 0.167809 -0.583168 10.6041 0.0368103 0.101714
221.69341 1.61172 0.161368 -0.574093 10.6041 -0.12084 0.124201
257.50213 1.61618 0.163197 -0.590491 10.6041 -0.307156 0.143223
275.25122 1.5974 0.162401 -0.56878 10.6041 -0.218367 0.106439
285.78218 1.58738 0.156613 -0.602119 10.6041 -0.286412 0.110174
298.61242 1.589 0.163293 -0.588699 10.6041 -0.421983 0.100158
313.17071 1.5661 0.173197 -0.579933 10.6041 -0.191015 0.0858376
326.91826 1.64715 0.153387 -0.56403 10.6041 -0.0916876 0.0716143
337.09055 1.60947 0.146228 -0.583732 10.6041 -0.136297 0.0303134
349.67213 1.57778 0.17032 -0.55664 10.6041 -0.0715832 0.0257433
11.47841 1.63133 0.255805 -0.663732 10.6041 0.166141 0.0608439
52.98903 1.58816 0.254179 -0.692777 10.6041 0.131621 0.115079
89.71201 1.5714 0.253573 -0.592799 10.6041 0.0994853 0.194968
129.40080 1.59503 0.252553 -0.626081 10.6041 0.240505 0.109181
160.90145 1.61382 0.238455 -0.605707 10.6041 0.0638697 0.111068
192.00790 1.61268 0.232857 -0.643641 10.6041 0.121149 0.0877923
230.21960 1.63142 0.263787 -0.66832 10.6041 0.0647358 0.129649
266.86483 1.58306 0.239769 -0.610457 10.6041 0.0198262 0.159819
