selection,variable,bin_label,x_center,x_low,x_high,pair_label,numerator_period,denominator_period,n_rows,mean_acc_num,mean_acc_den,sem_acc_num,sem_acc_den,ratio,ratio_err,mean_gen_num,mean_gen_den,mean_reco_num,mean_reco_den,mean_reco_cc_num,mean_reco_cc_den,abs_log_ratio,percent_deviation,gen_ratio,reco_ratio,reco_cc_ratio
all_data,phi,90-120,105.0,90.0,120.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,51,0.061087061136869215,0.04151588480398725,0.005779420330004543,0.005080719559083608,1.4714141689448546,0.2276076887606729,16950.450980392157,8911.450980392157,647.9019607843137,217.62745098039215,778.3341069372767,251.1039889557784,0.38622395803664317,47.14141689448545,1.902097763617641,2.977115055410397,3.099648516831599
all_data,phi,75-135,105.0,75.0,135.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,43,0.06914038719462162,0.050615528039918596,0.0066699141254012604,0.005805188245288922,1.365991620992142,0.204718878120062,12124.651162790698,6369.209302325581,450.09302325581393,151.13953488372093,540.7033355328837,174.38857059279067,0.31188062715624376,36.59916209921421,1.9036352217791996,2.9779966148638253,3.1005663599104967
all_data,phi,105-150,127.5,105.0,150.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,60,0.06992365751443233,0.0521103644609915,0.004863541684669596,0.00459693615384433,1.341837813603768,0.15073955708513567,9245.533333333333,4841.4,467.8666666666667,157.18333333333334,562.0550734631717,181.36205620919165,0.29404017700144325,34.183781360376805,1.9096817724900512,2.9765666419255647,3.0990775314924224
all_data,phi,120-165,142.5,120.0,165.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,62,0.07910549194640161,0.054864911211562915,0.005377381342221341,0.0043054537127115225,1.4418230194771542,0.14969320377504494,9010.322580645161,4726.241935483871,579.0,194.2741935483871,695.5611731301066,224.1584172005979,0.36590829865167457,44.182301947715416,1.9064454811331377,2.980323785803238,3.102989313614101
all_data,phi,135-180,157.5,135.0,180.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,57,0.08342537799059332,0.058575678606904734,0.005448771527560762,0.0039736086602935854,1.4242323772371863,0.13411767150141474,7899.0526315789475,4148.035087719299,510.9298245614035,170.49122807017545,613.787475232121,196.71703756831002,0.35363298593842335,42.42323772371863,1.9042878048367857,2.996810043218769,3.1201541199449143
all_data,phi,120-180,150.0,120.0,180.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,45,0.07306127831645289,0.047567463863043544,0.005914437738359303,0.004646653367717804,1.5359506768494373,0.19486395715753324,9554.68888888889,4995.2444444444445,501.7111111111111,165.51111111111112,602.7128998566621,190.97085422496667,0.42914952278374996,53.59506768494373,1.912757022234481,3.031283566058002,3.1560465197828402
all_data,phi,150-210,180.0,150.0,210.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,22,0.06076896182366864,0.049557839451168186,0.008465352476782477,0.006752174797557204,1.226222985034433,0.23893794347679945,7759.636363636364,4110.818181818182,264.22727272727275,106.5909090909091,317.4200894494137,122.98725339373044,0.2039387011017998,22.622298503443304,1.887613613746434,2.478891257995736,2.580918596768947
all_data,phi,165-225,195.0,165.0,225.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,37,0.0681746080279786,0.04798850149968089,0.007059378551723912,0.006481605820351286,1.4206446523118033,0.24178130478842114,8785.135135135135,4606.810810810811,342.4594594594595,119.45945945945945,411.40156022661887,137.8353082465235,0.3511107490964691,42.06446523118033,1.9069884776946002,2.8667420814479643,2.9847327615853847
all_data,phi,180-210,195.0,180.0,210.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,37,0.06318363585588647,0.04762836889312487,0.006452018612064018,0.006524607491369741,1.326596675978274,0.22666482274646418,10166.216216216217,5337.108108108108,352.0810810810811,123.32432432432432,422.9601550840459,142.2946858662027,0.28261677243625166,32.659667597827394,1.9048173674375737,2.854920008766163,2.9724241106357843
all_data,phi,180-225,202.5,180.0,225.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,25,0.04884566538823361,0.0373131317995464,0.006393248306862361,0.00530436032119515,1.3090743937186051,0.2529605583425264,11907.24,6262.72,328.88,121.12,395.08835685484803,139.751281400036,0.26932031779460425,30.907439371860512,1.9012888968371568,2.715323645970938,2.827082176970624
