bin_number,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi_pass2,phi_pass1,pass1_normalized_y,pass1_yerr_stat_plus_31percent_norm,pass2_over_pass1,pass2_yerr_stat_plus_s_comb,pass1_xs,pass1_stat,pass1_norm_frac,pass2_xs,pass2_stat,pass2_s_comb,pass2_n_good_periods
125,0.09,0.118,1.456,1.912,0.15,0.25,52.5,51.8523568192,1,0.321794482577,1.39814030381,0.129436471234,1.90084842112,0.164087254114,0.31,2.657652789,0.09104553081,0.0860058709876,4
126,0.09,0.118,1.456,1.912,0.15,0.25,67.5,67.0057859815,1,0.319294866159,1.10053978234,0.243791674001,1.43440546933,0.109703528685,0.31,1.578620283,0.06117097053,0.218104599875,4
127,0.09,0.118,1.456,1.912,0.15,0.25,82.5,82.1297004199,1,0.328715358911,0.834817538081,0.18818162711,1.36169752568,0.148878988049,0.31,1.136768976,0.05860697746,0.219441545824,4
128,0.09,0.118,1.456,1.912,0.15,0.25,97.5,97.179387562,1,0.469735768851,0.626862369995,0.168463885619,1.2099718203,0.427021825387,0.31,0.7584858029,0.06701162535,0.253803799949,4
129,0.09,0.118,1.456,1.912,0.15,0.25,112.5,112.251087644,1,0.365639640773,1.0389743656,0.155080607271,0.633807551374,0.122887335871,0.31,0.6585097986,0.09829125996,0,4
130,0.09,0.118,1.456,1.912,0.15,0.25,127.5,127.29511481,1,0.325706152853,1.0580925358,0.210783184869,0.543330058808,0.0542908760514,0.31,0.5748934797,0.04161265349,0.185595003729,4
131,0.09,0.118,1.456,1.912,0.15,0.25,142.5,142.37016911,1,0.320997466995,1.23067603201,0.122378807007,0.451436317965,0.0376059562637,0.31,0.5555718565,0.03422688202,0.0780577010655,4
132,0.09,0.118,1.456,1.912,0.15,0.25,157.5,157.441873482,1,0.320278781362,1.06396161232,0.279271165266,0.438849339198,0.0353225953597,0.31,0.4669188505,0.02950262581,0.254763720372,4
133,0.09,0.118,1.456,1.912,0.15,0.25,172.5,172.494720046,1,0.330419069647,1.13719332187,0.0840898459192,0.397633928027,0.0454708985417,0.31,0.4521866475,0.03343697574,0,4
134,0.09,0.118,1.456,1.912,0.15,0.25,195,195.1560333,1,0.344635272606,1.05768745751,0.0992484705885,0.425664156934,0.0640952857449,0.31,0.4502196399,0.04224651656,0,4
