xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.09,0.118,1.2,1.456,0.4,0.6,277.5,0.1384679445,2,0.137988009071,0.0138581903585,0.13306839351,0.159110058683,0,13.306839351,15.9110058683,0,0.824004194753,1.06663235879,0.121314082019
0.09,0.118,1.2,1.456,0.4,0.6,292.5,0.1734133074,2,0.170296872619,0.0182829271672,0.0977177328155,0.215290516476,0,9.77177328155,21.5290516476,0,0.976801235638,1.13623262438,0.0797156943706
0.09,0.118,1.2,1.456,0.4,0.6,307.5,0.3104005284,2,0.311067091506,0.0222827185815,0.023338276373,0.12500002777,0,2.3338276373,12.500002777,0,0.968065855318,1.00834030524,0.0201372249622
0.09,0.118,1.2,1.456,0.4,0.6,322.5,0.6605006443,2,0.671745880563,0.0271578805898,0.121382616216,0.0746875066994,0.0956844598799,12.1382616216,7.46875066994,9.56844598799,0.832242755298,1.03640035562,0.10207880016
0.09,0.118,1.2,1.456,0.4,0.6,337.5,2.059132438,2,2.03046316127,0.100605408705,0.0667921918455,0.104650237077,0,6.67921918455,10.4650237077,0,0.986205831852,1.09344578486,0.0536199765043
0.09,0.118,1.2,1.456,0.6,0.8,22.5,0.6508546624,2,0.661415588832,0.0300958366761,0.193859953036,0.0786119753048,0.177205639667,19.3859953036,7.86119753048,17.7205639667,0.735340228311,1.0715441684,0.168101970043
0.09,0.118,1.2,1.456,0.6,0.8,37.5,0.3091845748,2,0.30326821297,0.0158134232315,0.279229252836,0.0806157977347,0.267338865104,27.9229252836,8.06157977347,26.7338865104,0.636497383321,1.15428479817,0.258893707425
0.09,0.118,1.2,1.456,0.6,0.8,52.5,0.143246973,2,0.14088909813,0.0184949362451,0.219133073693,0.202293677032,0.0842411551372,21.9133073693,20.2293677032,8.42411551372,0.715447826965,1.1227545062,0.203653339619
0.09,0.118,1.2,1.456,0.6,0.8,75,0.06461853478,2,0.0708253256646,0.00998068381697,0.387564685948,0.308856226438,0.234124362646,38.7564685948,30.8856226438,23.4124362646,0.456742519381,1.07269168687,0.307974583743
0.09,0.118,1.2,1.456,0.6,0.8,150,0.03407592773,2,0.0346439943036,0.00485743045426,0.327413592372,0.234919088714,0.228062890948,32.7413592372,23.4919088714,22.8062890948,0.556724808951,1.13381489431,0.288545042681
0.09,0.118,1.2,1.456,0.6,0.8,187.5,0.02295206815,2,0.0233687541953,0.00415407669906,0.298799725836,0.300407990607,0,29.8799725836,30.0407990607,0,0.594421654826,1.1186117964,0.262095070786
0.09,0.118,1.2,1.456,0.6,0.8,247.5,0.04356409746,2,0.045040824694,0.00543845032012,0.694214048407,0.201805112297,0.664234779018,69.4214048407,20.1805112297,66.4234779018,0.0608587188983,1.28614671786,0.612643999482
0.09,0.118,1.2,1.456,0.6,0.8,285,0.0721093542,2,0.0711166516035,0.00734106546301,0.20645408891,0.159774775744,0.130749041539,20.645408891,15.9774775744,13.0749041539,0.731004854951,1.11352618022,0.191260662634
0.09,0.118,1.2,1.456,0.6,0.8,315,0.2384519612,2,0.229471620374,0.0115950672225,0.309958000912,0.0761582884374,0.300456115651,30.9958000912,7.61582884374,30.0456115651,0.605760578905,1.19163299171,0.292936206405
0.09,0.118,1.2,1.456,0.6,0.8,337.5,0.6500526163,2,0.661120204938,0.0296436637906,0.158932671814,0.0794419951803,0.137653781538,15.8932671814,7.94419951803,13.7653781538,0.78185115345,1.05413195996,0.136140403255
