group,period,stage,stage label,ratio_to_group,ratio_to_all,abs_frac_dev,abs_frac_dev_all,bin index,xB index,Q2 index,t_abs index,phi index,xBavg,Q2avg,t_abs_avg,phiavg
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.227289492011364,9.13213529411361,7.227289492011364,8.13213529411361,1117,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.074423290543503,7.60769133544294,7.074423290543503,6.60769133544294,1278,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.057618258420685,9.43125537855759,7.0576182584206855,8.43125537855759,655,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.959327502424895,8.25992651125887,6.959327502424895,7.25992651125887,1677,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,7.923118611408918,5.392937096333991,6.923118611408918,4.392937096333991,1794,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.920985910741039,4.889075774400578,6.920985910741039,3.8890757744005784,1578,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.820485535851913,6.7568218275002705,6.820485535851913,5.7568218275002705,1117,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.81573114035506,6.515565726091808,6.81573114035506,5.515565726091808,2256,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.773442923779039,7.633601620577635,6.773442923779039,6.633601620577635,1076,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.682608258775386,5.671758268592945,6.682608258775386,4.671758268592945,1584,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,7.657783932715036,6.158725798376809,6.657783932715036,5.158725798376809,1628,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.629993486817857,7.109516167464977,6.629993486817857,6.109516167464977,1638,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.576780115672418,7.771896514513355,6.576780115672418,6.771896514513355,2692,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.572179591749956,6.453045357280767,6.572179591749956,5.453045357280767,1207,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,7.542205696527845,5.878416534826026,6.542205696527845,4.878416534826026,1170,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.518978261433309,6.29540420522711,6.518978261433309,5.29540420522711,1766,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,7.490948779043462,5.282574237693069,6.490948779043462,4.282574237693069,1290,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.471884722041681,7.458110331280245,6.471884722041681,6.458110331280245,1130,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,7.469896481425312,7.0750000435922376,6.469896481425312,6.0750000435922376,2284,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.451520293071902,11.353807950668866,6.451520293071902,10.353807950668866,1152,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.449643192435858,6.038012948192623,6.449643192435858,5.038012948192623,2638,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.380510969374512,7.011826661180577,6.380510969374512,6.011826661180577,1602,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.357610830148521,5.987332137519667,6.357610830148521,4.987332137519667,2188,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.352405990512459,6.9899758031203145,6.352405990512459,5.9899758031203145,2241,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.312249028638723,6.464825714732358,6.312249028638723,5.464825714732358,2272,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.303693742673215,4.25364606536296,6.303693742673215,3.25364606536296,2553,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,7.296601183238954,4.397476227928535,6.296601183238954,3.397476227928535,716,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,7.200202255868949,5.030533772121406,6.200202255868949,4.030533772121406,703,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,7.187993794692504,4.3257460083913415,6.187993794692504,3.3257460083913415,1194,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.183201151767983,8.106787158929208,6.183201151767983,7.106787158929208,2449,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.1473972616065105,5.473723932073755,6.1473972616065105,4.473723932073755,702,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.13892378770911,6.609880996616194,6.13892378770911,5.609880996616194,1617,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.133483639601046,7.7581695891229545,6.133483639601046,6.7581695891229545,1637,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,7.131443879771764,6.821257592289179,6.131443879771764,5.821257592289179,788,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,7.120275237644526,4.910932198967364,6.120275237644526,3.910932198967364,393,,,,,,,,
inbending,Sp19 Inb,raw_eppi0_over_lumi,raw epπ0 / L,7.113765860405054,5.386059153349131,6.113765860405054,4.386059153349131,337,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.106223275117043,7.8509077367052855,6.106223275117043,6.8509077367052855,1765,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.074439656040589,6.368203628332472,6.074439656040589,5.368203628332472,369,,,,,,,,
outbending,Sp18 Out,normed_cross_section,normed xsec,7.0649355423649025,6.893179136873504,6.0649355423649025,5.893179136873504,2366,,,,,,,,
outbending,Sp18 Out,cross_section,cross section,7.0649355423649025,6.893179136873504,6.0649355423649025,5.893179136873504,2366,,,,,,,,
outbending,Sp18 Out,acceptance_corrected_over_lumi,acc.-corr. / L,7.064935542122583,6.893179137094045,6.064935542122583,5.893179137094045,2366,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,7.050907452486266,33.99847536852745,6.050907452486266,32.99847536852745,1114,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,7.027163452195428,4.44706918602379,6.027163452195428,3.44706918602379,1349,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.988492521539014,6.4908637748420075,5.988492521539014,5.4908637748420075,1846,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.9552395849716575,5.8182298561296,5.9552395849716575,4.8182298561296,1316,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.922342180925036,7.8379788660482745,5.922342180925036,6.8379788660482745,1079,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,6.917732671095512,6.260244186064845,5.917732671095512,5.260244186064845,408,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.917112783354813,6.664471110280839,5.917112783354813,5.664471110280839,1285,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.914109022149564,6.428553165757794,5.914109022149564,5.428553165757794,338,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.897757981045265,6.366639797168997,5.897757981045265,5.366639797168997,1116,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.8811454757734545,7.527827569282376,5.8811454757734545,6.527827569282376,1134,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.880474772164988,16.520583418782348,5.880474772164988,15.520583418782348,2436,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.85622487183056,6.972267992510392,5.85622487183056,5.972267992510392,1140,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,6.844025816222579,2.099024845916859,5.844025816222579,1.0990248459168588,2407,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,6.842178099334061,2.3436488271066707,5.842178099334061,1.3436488271066707,2445,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.837270017713841,15.63517291864521,5.837270017713841,14.63517291864521,1166,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.784459180449793,22.78005474272373,5.784459180449793,21.78005474272373,743,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.7751500367746065,34.67585045861509,5.7751500367746065,33.67585045861509,787,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,6.624964770073952,7.2187636845506775,5.624964770073952,6.2187636845506775,1148,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,6.609394306733567,4.261586457199444,5.609394306733567,3.261586457199444,405,,,,,,,,
outbending,Sp18 Out,raw_eppi0_over_lumi,raw epπ0 / L,6.566670035819154,3.4989955450259194,5.566670035819154,2.4989955450259194,315,,,,,,,,
outbending,Sp18 Out,raw_eppi0_over_lumi,raw epπ0 / L,6.566670035819154,1.9428420616332622,5.566670035819154,0.9428420616332622,2216,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,6.561584136528863,1.6320863502341727,5.561584136528863,0.6320863502341727,2440,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,6.514323365817066,6.511073538959162,5.514323365817066,5.511073538959162,1126,,,,,,,,
