# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
127.22 1.45 0.184 0.34 5.75 0.0413 0.0239
142.3 1.45 0.184 0.34 5.75 -0.0049 0.0234
157.38 1.45 0.184 0.34 5.75 -0.0101 0.0234
172.46 1.45 0.184 0.34 5.75 0.0289 0.0258
187.54 1.45 0.184 0.34 5.75 -0.0267 0.0265
202.62 1.45 0.184 0.34 5.75 -0.0131 0.0195
217.7 1.45 0.184 0.34 5.75 -0.0678 0.0209
232.78 1.45 0.184 0.34 5.75 0.0136 0.017
247.86 1.45 0.184 0.34 5.75 -0.032 0.0269
262.95 1.45 0.184 0.34 5.75 -0.0467 0.0229
278.04 1.45 0.184 0.34 5.75 -0.0251 0.0263
293.16 1.45 0.184 0.34 5.75 -0.1135 0.0411
308.31 1.45 0.184 0.34 5.75 -0.017 0.0638
319.59 1.45 0.184 0.34 5.75 -0.2298 0.1024
39.69 1.45 0.184 0.45 5.75 0.2447 0.0593
51.64 1.45 0.184 0.45 5.75 0.078 0.0291
66.8 1.45 0.184 0.45 5.75 0.069 0.0258
81.93 1.45 0.184 0.45 5.75 0.0644 0.0221
97.04 1.45 0.184 0.45 5.75 0.013 0.0167
112.13 1.45 0.184 0.45 5.75 0.0039 0.0142
127.22 1.45 0.184 0.45 5.75 0.018 0.015
142.3 1.45 0.184 0.45 5.75 0.0259 0.0245
157.38 1.45 0.184 0.45 5.75 0.0269 0.0281
172.46 1.45 0.184 0.45 5.75 0.0024 0.0268
232.78 1.45 0.184 0.45 5.75 -0.0376 0.0151
247.87 1.45 0.184 0.45 5.75 0.0008 0.0148
262.96 1.45 0.184 0.45 5.75 -0.0012 0.0148
278.07 1.45 0.184 0.45 5.75 -0.032 0.0171
293.2 1.45 0.184 0.45 5.75 -0.0141 0.0218
308.36 1.45 0.184 0.45 5.75 -0.0524 0.0377
320.31 1.45 0.184 0.45 5.75 -0.2537 0.0534
53.14 1.62 0.185 0.11 5.75 0.6332 0.2464
67.5 1.62 0.185 0.11 5.75 0.2964 0.1762
82.13 1.62 0.185 0.11 5.75 0.491 0.1287
97.18 1.62 0.185 0.11 5.75 0.2597 0.1032
112.23 1.62 0.185 0.11 5.75 0.2698 0.1159
127.28 1.62 0.185 0.11 5.75 0.1745 0.1037
142.34 1.62 0.185 0.11 5.75 0.1909 0.082
157.4 1.62 0.185 0.11 5.75 0.1576 0.0715
172.47 1.62 0.185 0.11 5.75 -0.1183 0.0892
187.53 1.62 0.185 0.11 5.75 -0.054 0.0808
202.6 1.62 0.185 0.11 5.75 -0.0406 0.0724
217.66 1.62 0.185 0.11 5.75 -0.0806 0.081
232.72 1.62 0.185 0.11 5.75 -0.1125 0.1001
247.77 1.62 0.185 0.11 5.75 -0.1816 0.0884
262.82 1.62 0.185 0.11 5.75 -0.2942 0.1022
277.87 1.62 0.185 0.11 5.75 -0.2777 0.1338
292.5 1.62 0.185 0.11 5.75 -0.4845 0.1754
306.86 1.62 0.185 0.11 5.75 -0.2356 0.2057
