# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
277.97 1.45 0.184 0.2 5.75 0.6275 0.0515
293.05 1.45 0.184 0.2 5.75 0.8223 0.0716
308.13 1.45 0.184 0.2 5.75 1.3345 0.0962
321.08 1.45 0.184 0.2 5.75 2.4176 0.1342
39.83 1.45 0.184 0.26 5.75 1.8396 0.1242
51.77 1.45 0.184 0.26 5.75 0.8764 0.0575
66.89 1.45 0.184 0.26 5.75 0.5329 0.048
81.99 1.45 0.184 0.26 5.75 0.3773 0.0395
97.08 1.45 0.184 0.26 5.75 0.2995 0.0284
112.16 1.45 0.184 0.26 5.75 0.2385 0.0255
127.23 1.45 0.184 0.26 5.75 0.2204 0.031
142.31 1.45 0.184 0.26 5.75 0.1138 0.02
157.38 1.45 0.184 0.26 5.75 0.1583 0.0228
172.46 1.45 0.184 0.26 5.75 0.1191 0.0218
187.54 1.45 0.184 0.26 5.75 0.1236 0.0256
202.62 1.45 0.184 0.26 5.75 0.1238 0.0205
217.69 1.45 0.184 0.26 5.75 0.1796 0.0232
232.77 1.45 0.184 0.26 5.75 0.2218 0.0301
247.84 1.45 0.184 0.26 5.75 0.2495 0.0317
262.92 1.45 0.184 0.26 5.75 0.2412 0.0259
278.01 1.45 0.184 0.26 5.75 0.3789 0.0333
293.11 1.45 0.184 0.26 5.75 0.5726 0.0489
308.23 1.45 0.184 0.26 5.75 0.848 0.0686
320.17 1.45 0.184 0.26 5.75 1.5171 0.1052
40.41 1.45 0.184 0.34 5.75 1.1611 0.0924
51.69 1.45 0.184 0.34 5.75 0.4892 0.0364
66.84 1.45 0.184 0.34 5.75 0.3045 0.031
81.96 1.45 0.184 0.34 5.75 0.1558 0.0208
97.05 1.45 0.184 0.34 5.75 0.2128 0.0214
112.14 1.45 0.184 0.34 5.75 0.1799 0.02
127.22 1.45 0.184 0.34 5.75 0.1239 0.0197
142.3 1.45 0.184 0.34 5.75 0.09 0.0191
157.38 1.45 0.184 0.34 5.75 0.1003 0.0192
172.46 1.45 0.184 0.34 5.75 0.0965 0.0209
187.54 1.45 0.184 0.34 5.75 0.0632 0.0214
202.62 1.45 0.184 0.34 5.75 0.0729 0.016
217.7 1.45 0.184 0.34 5.75 0.1027 0.0169
